osmid,y,x,street_count,highway,geometry
1367093155,19.0640029,72.8816509,4,,POINT (72.8816509 19.0640029)
1367093164,19.0641315,72.8815455,3,,POINT (72.8815455 19.0641315)
1367093170,19.0641696,72.8910922,3,,POINT (72.8910922 19.0641696)
1367093181,19.0644025,72.8838225,3,,POINT (72.8838225 19.0644025)
1367093183,19.0643862,72.8945878,3,,POINT (72.8945878 19.0643862)
1367093218,19.0649327,72.8924794,3,,POINT (72.8924794 19.0649327)
1367093220,19.0651351,72.8917198,3,,POINT (72.8917198 19.0651351)
1367093227,19.0652461,72.8913125,3,,POINT (72.8913125 19.0652461)
1367093348,19.0671013,72.8832485,1,,POINT (72.8832485 19.0671013)
1367093353,19.066966,72.8829512,1,,POINT (72.8829512 19.066966)
1392485609,19.075244,72.8874091,4,,POINT (72.8874091 19.075244)
1451876569,19.0784605,72.9105906,3,,POINT (72.9105906 19.0784605)
1451880130,19.0793666,72.9105473,3,,POINT (72.9105473 19.0793666)
1451880139,19.0795739,72.9115874,3,,POINT (72.9115874 19.0795739)
1451880141,19.0782794,72.9111649,3,,POINT (72.9111649 19.0782794)
1451889981,19.0770075,72.9116938,1,,POINT (72.9116938 19.0770075)
1451889982,19.0780129,72.9120008,3,,POINT (72.9120008 19.0780129)
1451889993,19.0770223,72.9111295,1,,POINT (72.9111295 19.0770223)
1451889994,19.07834,72.9109704,3,,POINT (72.9109704 19.07834)
1451898156,19.0789351,72.914291,3,,POINT (72.914291 19.0789351)
1451898158,19.0774191,72.9138974,3,,POINT (72.9138974 19.0774191)
1451898160,19.0785672,72.9146926,3,,POINT (72.9146926 19.0785672)
1462143098,19.0788686,72.9093051,3,,POINT (72.9093051 19.0788686)
1473471962,19.0314271,72.8887264,3,,POINT (72.8887264 19.0314271)
1475178057,19.0459084,72.9088191,3,traffic_signals,POINT (72.9088191 19.0459084)
1642951748,19.0528192,72.88105,3,,POINT (72.88105 19.0528192)
1642951755,19.0529039,72.8813852,3,,POINT (72.8813852 19.0529039)
1642951800,19.0536044,72.8822871,3,,POINT (72.8822871 19.0536044)
1642951818,19.0538601,72.8833422,3,,POINT (72.8833422 19.0538601)
1642951842,19.0544583,72.8816256,3,,POINT (72.8816256 19.0544583)
1642951846,19.0543383,72.8843552,3,,POINT (72.8843552 19.0543383)
1642951851,19.0544781,72.8842728,3,,POINT (72.8842728 19.0544781)
1642951853,19.054801,72.8821421,3,,POINT (72.8821421 19.054801)
1642951881,19.058254,72.8896646,3,,POINT (72.8896646 19.058254)
1642951891,19.058952,72.8903137,3,,POINT (72.8903137 19.058952)
1642951893,19.0590868,72.8901831,3,,POINT (72.8901831 19.0590868)
1643027254,19.0729898,72.9090519,4,,POINT (72.9090519 19.0729898)
1643031072,19.0708854,72.8949799,3,,POINT (72.8949799 19.0708854)
1643031073,19.0742757,72.9031388,4,traffic_signals,POINT (72.9031388 19.0742757)
1643031078,19.0770226,72.9038366,3,,POINT (72.9038366 19.0770226)
1643035294,19.0742924,72.9051922,3,,POINT (72.9051922 19.0742924)
1643035296,19.0751767,72.9051076,3,,POINT (72.9051076 19.0751767)
1643035300,19.075148,72.9060729,3,,POINT (72.9060729 19.075148)
1643035301,19.0753088,72.9034016,4,,POINT (72.9034016 19.0753088)
1643035303,19.0752744,72.9053072,3,,POINT (72.9053072 19.0752744)
1643035306,19.077341,72.8992352,4,,POINT (72.8992352 19.077341)
1643035308,19.0784873,72.9056893,4,,POINT (72.9056893 19.0784873)
1643035309,19.0793351,72.9041369,3,,POINT (72.9041369 19.0793351)
1643035311,19.0797811,72.9010023,4,,POINT (72.9010023 19.0797811)
1643035312,19.0798814,72.9061121,4,,POINT (72.9061121 19.0798814)
1643047697,19.0765492,72.9061579,3,,POINT (72.9061579 19.0765492)
1643047700,19.078152,72.90688,3,,POINT (72.90688 19.078152)
1643047701,19.0783743,72.9040727,4,,POINT (72.9040727 19.0783743)
1643047703,19.0785556,72.9077085,3,,POINT (72.9077085 19.0785556)
1643047704,19.0787794,72.9070127,3,,POINT (72.9070127 19.0787794)
1643047705,19.0790618,72.9087388,3,,POINT (72.9087388 19.0790618)
1643047706,19.0791503,72.9058597,4,,POINT (72.9058597 19.0791503)
1643264250,19.0523435,72.8998598,3,traffic_signals,POINT (72.8998598 19.0523435)
1643264260,19.0526941,72.8999913,4,,POINT (72.8999913 19.0526941)
1643264273,19.0532817,72.8945148,3,,POINT (72.8945148 19.0532817)
1643264325,19.0596656,72.9006889,3,,POINT (72.9006889 19.0596656)
1643264330,19.0597684,72.9003458,3,,POINT (72.9003458 19.0597684)
1643264345,19.059921,72.9002848,3,,POINT (72.9002848 19.059921)
1643264350,19.0600171,72.9003002,3,,POINT (72.9003002 19.0600171)
1643264361,19.0601819,72.900451,3,,POINT (72.900451 19.0601819)
1643351764,19.0513722,72.887881,3,,POINT (72.887881 19.0513722)
1643351765,19.0532383,72.8880657,3,,POINT (72.8880657 19.0532383)
